observation,name,genus,species,count,date,time
48,Red-winged Blackbird,Agelaius,phoeniceus,1,6/15/20,17:02
47,Eastern Phoebe,Sayornis,phoebe,1,6/15/20,11:42
47,House Sparrow,Passer,domesticus,2,6/15/20,11:48
47,Purple Finch,Carpodacus,purpureus,1,6/15/20,11:48
47,Tufted Titmouse,Baeolophus,bicolor,2,6/15/20,11:41
46,Ruby-throated Hummingbird,Archilochus,colubris,1,6/14/20,16:54
45,Eastern Phoebe,Sayornis,phoebe,1,6/14/20,11:39
45,Indigo Bunting,Passerina,cyanea,2,6/14/20,11:43
45,Northern Cardinal,Cardinalis,cardinalis,1,6/14/20,11:34
45,Red-winged Blackbird,Agelaius,phoeniceus,1,6/14/20,11:44
45,Tufted Titmouse,Baeolophus,bicolor,2,6/14/20,11:38
45,White-winged Dove,Zenaida,asiatica,1,6/14/20,11:54
44,American Crow,Corvus,brachyrhynchos,1,6/13/20,12:21
44,House Finch,Carpodacus,mexicanus,1,6/13/20,12:21
44,Northern Cardinal,Cardinalis,cardinalis,2,6/13/20,12:20
44,Red-winged Blackbird,Agelaius,phoeniceus,1,6/13/20,12:21
44,Scissor-tailed Flycatcher,Tyrannus,forficatus,1,6/13/20,12:21
44,Tufted Titmouse,Baeolophus,bicolor,1,6/13/20,12:20
43,Indigo Bunting,Passerina,cyanea,1,6/12/20,17:48
43,Northern Cardinal,Cardinalis,cardinalis,2,6/12/20,17:46
43,White-winged Dove,Zenaida,asiatica,2,6/12/20,17:52
42,Indigo Bunting,Passerina,cyanea,1,6/11/20,17:04
41,Indigo Bunting,Passerina,cyanea,1,6/11/20,11:45
41,Northern Cardinal,Cardinalis,cardinalis,3,6/11/20,11:41
41,Purple Finch,Carpodacus,purpureus,1,6/11/20,11:42
41,Red-winged Blackbird,Agelaius,phoeniceus,1,6/11/20,11:41
40,American Crow,Corvus,brachyrhynchos,3,6/10/20,11:35
40,Black-capped Chickadee,Poecile,atricapillus,1,6/10/20,11:43
40,House Finch,Carpodacus,mexicanus,1,6/10/20,11:38
40,Red-winged Blackbird,Agelaius,phoeniceus,1,6/10/20,17:24
40,Tufted Titmouse,Baeolophus,bicolor,1,6/10/20,11:38
40,White-winged Dove,Zenaida,asiatica,1,6/10/20,11:42
39,Black-capped Chickadee,Poecile,atricapillus,1,6/8/20,11:33
39,Northern Cardinal,Cardinalis,cardinalis,2,6/8/20,11:33
39,Red-winged Blackbird,Agelaius,phoeniceus,1,6/8/20,11:41
39,Tufted Titmouse,Baeolophus,bicolor,1,6/8/20,11:33
39,White-winged Dove,Zenaida,asiatica,1,6/8/20,11:33
38,House Finch,Carpodacus,mexicanus,1,6/7/20,11:34
38,Red-winged Blackbird,Agelaius,phoeniceus,1,6/7/20,11:40
37,Indigo Bunting,Passerina,cyanea,1,6/6/20,16:43
37,Tufted Titmouse,Baeolophus,bicolor,2,6/6/20,16:43
36,Northern Cardinal,Cardinalis,cardinalis,2,6/6/20,11:47
35,American Crow,Corvus,brachyrhynchos,1,6/4/20,17:41
35,Indigo Bunting,Passerina,cyanea,1,6/4/20,17:35
35,Red-winged Blackbird,Agelaius,phoeniceus,1,6/4/20,17:28
35,Ruby-throated Hummingbird,Archilochus,colubris,1,6/4/20,17:21
34,Red-winged Blackbird,Agelaius,phoeniceus,1,6/4/20,11:47
34,Ruby-throated Hummingbird,Archilochus,colubris,1,6/4/20,11:40
33,American Crow,Corvus,brachyrhynchos,1,6/3/20,11:39
33,Northern Cardinal,Cardinalis,cardinalis,1,6/3/20,11:40
32,American Crow,Corvus,brachyrhynchos,1,6/2/20,7:14
32,Ruby-throated Hummingbird,Archilochus,colubris,1,6/2/20,11:40
31,Blue Jay,Cyanocitta,cristata,1,6/1/20,17:42
31,House Sparrow,Passer,domesticus,1,6/1/20,17:42
31,Ruby-throated Hummingbird,Archilochus,colubris,1,6/1/20,17:38
31,Scissor-tailed Flycatcher,Tyrannus,forficatus,1,6/1/20,17:38
31,Tufted Titmouse,Baeolophus,bicolor,1,6/1/20,17:41
30,Black-capped Chickadee,Poecile,atricapillus,1,6/1/20,11:42
30,House Sparrow,Passer,domesticus,2,6/1/20,11:34
30,Purple Finch,Carpodacus,purpureus,1,6/1/20,11:49
30,Ruby-throated Hummingbird,Archilochus,colubris,1,6/1/20,11:45
30,Tufted Titmouse,Baeolophus,bicolor,1,6/1/20,11:52
29,House Sparrow,Passer,domesticus,3,5/30/20,17:55
29,Northern Cardinal,Cardinalis,cardinalis,2,5/30/20,17:46
29,Purple Finch,Carpodacus,purpureus,1,5/30/20,17:45
28,Eastern Bluebird,Sialia,sialis,1,5/30/20,12:03
28,House Finch,Carpodacus,mexicanus,1,5/30/20,11:55
28,Northern Cardinal,Cardinalis,cardinalis,1,5/30/20,11:53
28,Ruby-throated Hummingbird,Archilochus,colubris,2,5/30/20,11:52
27,Black-capped Chickadee,Poecile,atricapillus,1,5/29/20,17:01
27,Mourning Dove,Zenaida,macroura,1,5/29/20,17:01
27,Northern Cardinal,Cardinalis,cardinalis,3,5/29/20,17:00
27,Red-winged Blackbird,Agelaius,phoeniceus,1,5/29/20,17:00
27,Ruby-throated Hummingbird,Archilochus,colubris,2,5/29/20,17:01
27,White-winged Dove,Zenaida,asiatica,1,5/29/20,17:03
26,Blue Jay,Cyanocitta,cristata,1,5/29/20,11:49
26,Eastern Bluebird,Sialia,sialis,1,5/29/20,11:49
26,Northern Cardinal,Cardinalis,cardinalis,1,5/29/20,11:54
26,Ruby-throated Hummingbird,Archilochus,colubris,1,5/29/20,11:49
25,White-winged Dove,Zenaida,asiatica,1,5/28/20,11:31
24,Black-capped Chickadee,Poecile,atricapillus,1,5/27/20,17:34
24,Northern Cardinal,Cardinalis,cardinalis,1,5/27/20,17:34
24,Purple Finch,Carpodacus,purpureus,1,5/27/20,17:34
24,Red-winged Blackbird,Agelaius,phoeniceus,1,5/27/20,17:35
24,Ruby-throated Hummingbird,Archilochus,colubris,2,5/27/20,17:35
24,Tufted Titmouse,Baeolophus,bicolor,2,5/27/20,17:34
23,House Sparrow,Passer,domesticus,1,5/27/20,11:40
23,Northern Cardinal,Cardinalis,cardinalis,1,5/27/20,11:43
23,Ruby-throated Hummingbird,Archilochus,colubris,1,5/27/20,11:44
22,House Finch,Carpodacus,mexicanus,1,5/26/20,17:22
22,House Sparrow,Passer,domesticus,2,5/26/20,17:17
22,Northern Cardinal,Cardinalis,cardinalis,1,5/26/20,17:13
22,Ruby-throated Hummingbird,Archilochus,colubris,1,5/26/20,17:25
22,White-winged Dove,Zenaida,asiatica,2,5/26/20,17:13
21,House Sparrow,Passer,domesticus,2,5/26/20,11:32
21,Northern Cardinal,Cardinalis,cardinalis,2,5/26/20,11:34
20,Black-capped Chickadee,Poecile,atricapillus,1,5/25/20,17:48
20,Ruby-throated Hummingbird,Archilochus,colubris,1,5/25/20,17:48
19,Blue Jay,Cyanocitta,cristata,1,5/25/20,11:58
19,House Sparrow,Passer,domesticus,1,5/25/20,11:38
19,Red-winged Blackbird,Agelaius,phoeniceus,1,5/25/20,11:59
19,Ruby-throated Hummingbird,Archilochus,colubris,1,5/25/20,11:42
19,White-winged Dove,Zenaida,asiatica,1,5/25/20,11:39
18,Black-capped Chickadee,Poecile,atricapillus,1,5/25/20,7:42
18,House Finch,Carpodacus,mexicanus,4,5/25/20,7:35
18,House Sparrow,Passer,domesticus,1,5/25/20,7:28
18,Northern Cardinal,Cardinalis,cardinalis,1,5/25/20,7:28
18,Red-winged Blackbird,Agelaius,phoeniceus,1,5/25/20,7:28
18,Ruby-throated Hummingbird,Archilochus,colubris,1,5/25/20,7:28
18,White-winged Dove,Zenaida,asiatica,2,5/25/20,7:28
17,Brown-headed Cowbird,Molothrus,ater,2,5/24/20,19:55
16,Black-capped Chickadee,Poecile,atricapillus,1,5/24/20,16:55
16,Blue Jay,Cyanocitta,cristata,1,5/24/20,17:04
16,Eurasian Collared-Dove,Streptopelia,decaocto,1,5/24/20,17:10
16,House Finch,Carpodacus,mexicanus,4,5/24/20,16:58
16,House Sparrow,Passer,domesticus,1,5/24/20,16:56
16,Northern Cardinal,Cardinalis,cardinalis,2,5/24/20,17:04
16,Red-bellied Woodpecker,Melanerpes,carolinus,1,5/24/20,17:07
16,Red-winged Blackbird,Agelaius,phoeniceus,1,5/24/20,16:52
16,Tufted Titmouse,Baeolophus,bicolor,1,5/24/20,16:54
16,White-winged Dove,Zenaida,asiatica,1,5/24/20,17:03
15,Black-capped Chickadee,Poecile,atricapillus,3,5/24/20,11:55
15,House Finch,Carpodacus,mexicanus,1,5/24/20,11:58
15,House Sparrow,Passer,domesticus,2,5/24/20,11:47
15,Northern Cardinal,Cardinalis,cardinalis,1,5/24/20,12:05
15,Red-winged Blackbird,Agelaius,phoeniceus,1,5/24/20,11:47
15,White-winged Dove,Zenaida,asiatica,1,5/24/20,11:46
14,Black-capped Chickadee,Poecile,atricapillus,1,5/24/20,7:51
14,House Sparrow,Passer,domesticus,1,5/24/20,7:47
14,Northern Cardinal,Cardinalis,cardinalis,1,5/24/20,7:50
14,Yellow Warbler,Setophaga,petechia,1,5/24/20,7:51
13,Blue Jay,Cyanocitta,cristata,2,5/23/20,16:58
13,Tufted Titmouse,Baeolophus,bicolor,1,5/23/20,16:59
13,White-winged Dove,Zenaida,asiatica,1,5/23/20,16:58
12,Black-capped Chickadee,Poecile,atricapillus,2,5/23/20,11:25
12,Indigo Bunting,Passerina,cyanea,1,5/23/20,11:37
12,Northern Cardinal,Cardinalis,cardinalis,2,5/23/20,11:25
12,Red-winged Blackbird,Agelaius,phoeniceus,1,5/23/20,11:30
12,Tufted Titmouse,Baeolophus,bicolor,1,5/23/20,11:25
12,Turkey Vulture,Cathartes,aura,1,5/23/20,11:39
12,White-winged Dove,Zenaida,asiatica,1,5/23/20,11:39
11,Black-capped Chickadee,Poecile,atricapillus,1,5/22/20,17:47
11,House Sparrow,Passer,domesticus,2,5/22/20,17:48
11,Red-winged Blackbird,Agelaius,phoeniceus,1,5/22/20,17:52
11,Tufted Titmouse,Baeolophus,bicolor,1,5/22/20,17:52
11,Yellow Warbler,Setophaga,petechia,1,5/22/20,17:50
10,Black-capped Chickadee,Poecile,atricapillus,2,5/22/20,11:50
10,Blue Jay,Cyanocitta,cristata,2,5/22/20,11:50
10,House Sparrow,Passer,domesticus,1,5/22/20,11:54
10,Northern Cardinal,Cardinalis,cardinalis,1,5/22/20,11:42
10,Red-bellied Woodpecker,Melanerpes,carolinus,1,5/22/20,11:53
10,Tufted Titmouse,Baeolophus,bicolor,1,5/22/20,11:40
10,White-winged Dove,Zenaida,asiatica,1,5/22/20,11:40
9,Black-capped Chickadee,Poecile,atricapillus,1,5/21/20,16:55
9,Mourning Dove,Zenaida,macroura,1,5/21/20,17:06
9,Northern Cardinal,Cardinalis,cardinalis,2,5/21/20,17:06
9,Red-winged Blackbird,Agelaius,phoeniceus,1,5/21/20,17:06
9,Tufted Titmouse,Baeolophus,bicolor,2,5/21/20,16:55
8,Black-capped Chickadee,Poecile,atricapillus,1,5/21/20,11:40
8,Blue Jay,Cyanocitta,cristata,3,5/21/20,11:49
8,Northern Cardinal,Cardinalis,cardinalis,1,5/21/20,11:39
8,Red-winged Blackbird,Agelaius,phoeniceus,1,5/21/20,11:51
8,Tufted Titmouse,Baeolophus,bicolor,1,5/21/20,11:39
7,Black-capped Chickadee,Poecile,atricapillus,3,5/20/20,16:24
7,Red-winged Blackbird,Agelaius,phoeniceus,1,5/20/20,16:24
6,Mourning Dove,Zenaida,macroura,1,5/19/20,16:48
6,Northern Cardinal,Cardinalis,cardinalis,1,5/19/20,17:02
6,Northern Mockingbird,Mimus,polyglottos,1,5/19/20,17:04
5,Red-winged Blackbird,Agelaius,phoeniceus,1,5/19/20,11:39
5,Tufted Titmouse,Baeolophus,bicolor,1,5/19/20,11:49
4,Mourning Dove,Zenaida,macroura,2,5/18/20,16:49
4,Northern Cardinal,Cardinalis,cardinalis,3,5/18/20,16:49
3,Indigo Bunting,Passerina,cyanea,1,5/18/20,11:39
3,Northern Cardinal,Cardinalis,cardinalis,2,5/18/20,11:44
3,Tufted Titmouse,Baeolophus,bicolor,1,5/18/20,11:44
2,Black-capped Chickadee,Poecile,atricapillus,2,5/17/20,17:02
2,Eastern Bluebird,Sialia,sialis,1,5/17/20,17:05
2,House Sparrow,Passer,domesticus,1,5/17/20,17:04
2,Northern Cardinal,Cardinalis,cardinalis,1,5/17/20,17:04
2,Tufted Titmouse,Baeolophus,bicolor,1,5/17/20,17:03
1,Blue Jay,Cyanocitta,cristata,1,5/17/20,12:16
1,Eastern Bluebird,Sialia,sialis,1,5/17/20,12:16
1,Eurasian Collared-Dove,Streptopelia,decaocto,1,5/17/20,12:16
1,Red-winged Blackbird,Agelaius,phoeniceus,1,5/17/20,12:16
1,Tufted Titmouse,Baeolophus,bicolor,1,5/17/20,12:16